ID,Full Name,Gender,Date of Birth,Checkout Date,Purpose,SOURCE,Overall Experience,NPS RATING,NPS CATEGORY,Feedback,Feedback Category,Rating,Rating Range
1030,Guest 01030,Male,09-01-1968,08-07-2020,Business,Search engine,4,10,Promoters,Variety of food,Restaurant,Average,2
1031,Guest 01031,Male,20-02-1970,25-02-2022,Vacation,News paper,2,9,Promoters,Broadband & TV,Facility,Average,2
1032,Guest 01032,Male,03-12-1998,14-04-2020,Business,Organization,4,8,Passives,Gym,Facility,Average,2
1033,Guest 01033,Male,10-12-1980,29-03-2022,Other,hotel booking sites,4,9,Promoters,Staff attitude,Staff,Very good,4
1034,Guest 01034,Male,12-09-1961,14-03-2021,Vacation,Word of mouth,3,10,Promoters,Check-in Process,Staff,Excellent,5
1035,Guest 01035,Male,08-10-1972,20-05-2022,Function,Television advertisement,3,6,Detractors,Room service,Room,Excellent,5
1036,Guest 01036,Male,11-11-1994,19-11-2020,Vacation,hotel booking sites,5,4,Detractors,Room cleanliness,Room,Average,2
1037,Guest 01037,Male,28-08-1973,28-03-2021,Business,Organization,5,9,Promoters,Food quality,Restaurant,Excellent,5
1038,Guest 01038,Male,26-09-2006,30-12-2021,Other,hotel booking sites,3,4,Detractors,Variety of food,Restaurant,Poor,1
1039,Guest 01039,Female,28-06-1955,18-08-2021,Business,Organization,5,3,Detractors,Broadband & TV,Facility,Very good,4
1040,Guest 01040,Female,15-09-1999,27-03-2020,Business,Organization,1,7,Passives,Gym,Facility,Good,3
1041,Guest 01041,Male,29-07-1967,10-04-2022,Business,Organization,4,8,Passives,Staff attitude,Staff,Very good,4
1042,Guest 01042,Male,03-07-1956,05-11-2022,Business,Organization,4,4,Detractors,Check-in Process,Staff,Excellent,5
1043,Guest 01043,Female,28-02-1995,03-08-2020,Business,Organization,1,4,Detractors,Room service,Room,Good,3
1044,Guest 01044,Female,01-04-1999,23-06-2022,Business,Organization,1,3,Detractors,Room cleanliness,Room,Poor,1
1045,Guest 01045,Male,16-08-1991,08-09-2020,Business,hotel booking sites,4,8,Passives,Food quality,Restaurant,Very good,4
1046,Guest 01046,Male,31-05-1956,25-09-2021,Business,Organization,3,4,Detractors,Variety of food,Restaurant,Average,2
1047,Guest 01047,Female,12-09-1999,20-10-2021,Vacation,Organization,3,9,Promoters,Broadband & TV,Facility,Good,3
1048,Guest 01048,Male,08-02-1953,11-09-2022,Business,Organization,5,5,Detractors,Gym,Facility,Average,2
1049,Guest 01049,Female,13-03-1983,13-08-2020,Function,Television advertisement,4,9,Promoters,Staff attitude,Staff,Very good,4
1050,Guest 01050,Male,20-09-2005,12-09-2021,Business,Organization,5,7,Passives,Check-in Process,Staff,Excellent,5
1051,Guest 01051,Female,22-07-1961,26-10-2021,Vacation,Word of mouth,5,9,Promoters,Room service,Room,Poor,1
1052,Guest 01052,Male,16-03-1995,28-06-2021,Vacation,hotel booking sites,4,7,Passives,Room cleanliness,Room,Excellent,5
1053,Guest 01053,Male,05-05-1992,21-10-2020,Vacation,hotel booking sites,5,7,Passives,Food quality,Restaurant,Very good,4
1054,Guest 01054,Male,24-11-1966,08-12-2020,Function,Internet advertisement,1,4,Detractors,Variety of food,Restaurant,Poor,1
1055,Guest 01055,Male,10-12-1969,15-11-2020,Vacation,Internet advertisement,1,10,Promoters,Broadband & TV,Facility,Very good,4
1056,Guest 01056,Male,10-11-1969,25-05-2022,Vacation,hotel booking sites,4,7,Passives,Gym,Facility,Average,2
1057,Guest 01057,Female,20-11-1966,10-03-2020,Business,Organization,3,6,Detractors,Staff attitude,Staff,Good,3
1058,Guest 01058,Female,03-10-1959,24-06-2021,Business,Internet advertisement,4,9,Promoters,Check-in Process,Staff,Good,3
1059,Guest 01059,Female,04-02-1987,26-03-2022,Business,Organization,3,9,Promoters,Room service,Room,Good,3
1060,Guest 01060,Male,16-09-1998,09-02-2021,Vacation,Search engine,5,6,Detractors,Room cleanliness,Room,Average,2
1061,Guest 01061,Male,19-04-1998,13-09-2022,Vacation,Internet advertisement,1,6,Detractors,Food quality,Restaurant,Poor,1
1062,Guest 01062,Male,11-03-1966,09-11-2020,Business,Organization,3,7,Passives,Variety of food,Restaurant,Average,2
1063,Guest 01063,Female,10-06-1980,23-01-2022,Function,News paper,4,5,Detractors,Broadband & TV,Facility,Poor,1
1064,Guest 01064,Female,19-10-2004,12-11-2020,Vacation,Internet advertisement,3,9,Promoters,Gym,Facility,Excellent,5
1065,Guest 01065,Male,25-02-1961,07-07-2021,Business,Organization,5,8,Passives,Staff attitude,Staff,Very good,4
1066,Guest 01066,Male,04-01-1951,03-05-2022,Function,Television advertisement,5,10,Promoters,Check-in Process,Staff,Very good,4
1067,Guest 01067,Female,09-10-1963,10-10-2020,Vacation,Search engine,5,9,Promoters,Room service,Room,Excellent,5
1068,Guest 01068,Female,06-11-1987,15-10-2020,Business,Organization,4,6,Detractors,Room cleanliness,Room,Very good,4
1069,Guest 01069,Male,26-05-1964,12-08-2021,Business,Organization,5,8,Passives,Food quality,Restaurant,Poor,1
1070,Guest 01070,Male,12-09-1965,21-05-2021,Function,Television advertisement,4,8,Passives,Variety of food,Restaurant,Poor,1
1071,Guest 01071,Male,29-04-1951,12-12-2020,Vacation,Word of mouth,3,7,Passives,Broadband & TV,Facility,Very good,4
1072,Guest 01072,Female,17-06-1977,03-12-2020,Vacation,Internet advertisement,1,3,Detractors,Gym,Facility,Very good,4
1073,Guest 01073,Female,29-09-1964,21-07-2022,Vacation,Television advertisement,3,10,Promoters,Staff attitude,Staff,Excellent,5
1074,Guest 01074,Male,26-09-2005,31-12-2020,Business,Organization,4,5,Detractors,Check-in Process,Staff,Very good,4
1075,Guest 01075,Female,06-02-1982,17-12-2020,Vacation,hotel booking sites,5,6,Detractors,Room service,Room,Excellent,5
1076,Guest 01076,Male,08-09-1958,02-11-2021,Business,Organization,3,7,Passives,Room cleanliness,Room,Very good,4
1077,Guest 01077,Male,20-12-1991,16-08-2020,Function,News paper,4,9,Promoters,Food quality,Restaurant,Very good,4
1078,Guest 01078,Male,28-08-1955,04-08-2021,Vacation,Word of mouth,4,9,Promoters,Variety of food,Restaurant,Poor,1
1079,Guest 01079,Female,02-08-2002,18-07-2020,Business,Organization,4,6,Detractors,Broadband & TV,Facility,Average,2
1080,Guest 01080,Male,15-10-1979,13-03-2020,Function,Word of mouth,2,8,Passives,Gym,Facility,Excellent,5
1081,Guest 01081,Male,19-12-1968,20-03-2020,Business,Organization,1,10,Promoters,Staff attitude,Staff,Good,3
1082,Guest 01082,Female,05-03-1985,19-12-2020,Vacation,hotel booking sites,1,9,Promoters,Check-in Process,Staff,Very good,4
1083,Guest 01083,Female,03-09-1995,14-09-2020,Business,Search engine,3,9,Promoters,Room service,Room,Excellent,5
1084,Guest 01084,Female,23-03-1951,24-12-2021,Business,Organization,4,9,Promoters,Room cleanliness,Room,Very good,4
1085,Guest 01085,Female,17-11-1952,17-04-2021,Vacation,Internet advertisement,5,9,Promoters,Food quality,Restaurant,Excellent,5
1086,Guest 01086,Female,27-11-1980,13-10-2020,Business,Search engine,5,4,Detractors,Variety of food,Restaurant,Average,2
1087,Guest 01087,Male,02-01-1963,12-04-2022,Vacation,Search engine,3,8,Passives,Broadband & TV,Facility,Average,2
1088,Guest 01088,Male,30-12-1997,25-06-2021,Function,Word of mouth,5,9,Promoters,Gym,Facility,Poor,1
1089,Guest 01089,Female,22-11-1972,06-07-2021,Business,Organization,3,9,Promoters,Staff attitude,Staff,Good,3
1090,Guest 01090,Male,26-08-2000,18-08-2021,Business,Organization,5,8,Passives,Check-in Process,Staff,Very good,4
1091,Guest 01091,Male,31-12-1993,24-01-2021,Vacation,hotel booking sites,2,7,Passives,Room service,Room,Excellent,5
1092,Guest 01092,Male,02-06-1979,11-06-2020,Business,Search engine,1,6,Detractors,Room cleanliness,Room,Poor,1
1093,Guest 01093,Female,14-12-1965,14-02-2022,Function,News paper,2,4,Detractors,Food quality,Restaurant,Very good,4
1094,Guest 01094,Male,18-05-1981,03-08-2020,Business,Organization,3,9,Promoters,Variety of food,Restaurant,Poor,1
1095,Guest 01095,Male,21-08-1964,19-07-2022,Vacation,Television advertisement,4,9,Promoters,Broadband & TV,Facility,Average,2
1096,Guest 01096,Female,14-02-1999,04-06-2022,Business,Organization,5,9,Promoters,Gym,Facility,Average,2
1097,Guest 01097,Male,22-10-1952,05-02-2020,Vacation,Internet advertisement,1,8,Passives,Staff attitude,Staff,Good,3
1098,Guest 01098,Male,10-11-1964,06-12-2020,Business,Organization,3,8,Passives,Check-in Process,Staff,Poor,1
1099,Guest 01099,Female,16-01-1978,16-08-2021,Vacation,hotel booking sites,2,4,Detractors,Room service,Room,Good,3
1100,Guest 01100,Female,05-01-1954,27-07-2020,Business,Internet advertisement,4,9,Promoters,Room cleanliness,Room,Poor,1
1101,Guest 01101,Male,01-09-1975,03-06-2020,Other,Search engine,5,9,Promoters,Food quality,Restaurant,Excellent,5
1102,Guest 01102,Male,21-08-1988,27-08-2021,Vacation,hotel booking sites,3,8,Passives,Variety of food,Restaurant,Poor,1
1103,Guest 01103,Female,27-02-1966,24-07-2022,Business,Organization,5,5,Detractors,Broadband & TV,Facility,Good,3
1104,Guest 01104,Male,26-06-2002,13-02-2022,Business,Organization,4,8,Passives,Gym,Facility,Average,2
1105,Guest 01105,Female,05-02-1972,17-10-2021,Vacation,News paper,3,5,Detractors,Staff attitude,Staff,Very good,4
1106,Guest 01106,Female,26-01-1987,27-03-2021,Business,Organization,5,9,Promoters,Check-in Process,Staff,Very good,4
1107,Guest 01107,Female,22-11-1951,26-12-2021,Business,Organization,4,9,Promoters,Room service,Room,Good,3
1108,Guest 01108,Female,01-10-1975,08-06-2021,Other,hotel booking sites,4,3,Detractors,Room cleanliness,Room,Average,2
1109,Guest 01109,Male,18-04-1989,30-09-2021,Vacation,hotel booking sites,5,7,Passives,Food quality,Restaurant,Excellent,5
1110,Guest 01110,Male,14-01-1959,14-08-2020,Other,Television advertisement,4,8,Passives,Variety of food,Restaurant,Poor,1
1111,Guest 01111,Female,26-04-1982,25-10-2020,Vacation,Organization,3,4,Detractors,Broadband & TV,Facility,Good,3
1112,Guest 01112,Female,07-07-1957,29-01-2020,Vacation,Internet advertisement,5,10,Promoters,Gym,Facility,Good,3
1113,Guest 01113,Male,06-11-1983,02-01-2021,Other,hotel booking sites,4,7,Passives,Staff attitude,Staff,Very good,4
1114,Guest 01114,Female,05-06-1979,29-09-2020,Vacation,Word of mouth,4,5,Detractors,Check-in Process,Staff,Very good,4
1115,Guest 01115,Male,11-03-1978,17-01-2021,Vacation,Word of mouth,5,9,Promoters,Room service,Room,Very good,4
1116,Guest 01116,Male,05-01-1955,07-10-2022,Business,Organization,3,9,Promoters,Room cleanliness,Room,Good,3
1117,Guest 01117,Male,29-03-1953,29-12-2021,Business,Organization,4,8,Passives,Food quality,Restaurant,Excellent,5
1118,Guest 01118,Male,25-06-1953,04-12-2021,Business,Organization,4,9,Promoters,Variety of food,Restaurant,Poor,1
1119,Guest 01119,Female,24-06-1959,10-11-2021,Business,Organization,5,6,Detractors,Broadband & TV,Facility,Very good,4
1120,Guest 01120,Female,25-03-1966,26-09-2021,Vacation,News paper,3,4,Detractors,Gym,Facility,Excellent,5
1121,Guest 01121,Male,14-05-1970,24-12-2020,Vacation,Word of mouth,5,8,Passives,Staff attitude,Staff,Good,3
1122,Guest 01122,Female,13-09-1989,20-02-2022,Function,News paper,2,9,Promoters,Check-in Process,Staff,Good,3
1123,Guest 01123,Male,13-06-1969,14-02-2020,Vacation,Word of mouth,2,9,Promoters,Room service,Room,Very good,4
1124,Guest 01124,Male,21-07-1965,06-05-2022,Business,hotel booking sites,2,5,Detractors,Room cleanliness,Room,Average,2
1125,Guest 01125,Female,02-11-1993,12-05-2022,Vacation,Organization,5,6,Detractors,Food quality,Restaurant,Poor,1
1126,Guest 01126,Male,15-04-1983,15-04-2021,Vacation,hotel booking sites,2,8,Passives,Variety of food,Restaurant,Average,2
1127,Guest 01127,Male,26-08-1982,09-02-2022,Vacation,Search engine,3,7,Passives,Broadband & TV,Facility,Good,3
1128,Guest 01128,Male,28-06-1965,15-09-2022,Function,Organization,5,10,Promoters,Gym,Facility,Very good,4
1129,Guest 01129,Female,07-06-1998,21-09-2020,Vacation,Word of mouth,4,6,Detractors,Staff attitude,Staff,Very good,4
1130,Guest 01130,Female,01-01-1962,10-07-2022,Business,Organization,1,8,Passives,Check-in Process,Staff,Excellent,5
1131,Guest 01131,Male,02-10-1978,14-05-2021,Function,News paper,4,8,Passives,Room service,Room,Good,3
1132,Guest 01132,Male,21-06-1962,28-08-2022,Other,Search engine,4,4,Detractors,Room cleanliness,Room,Excellent,5
1133,Guest 01133,Male,18-03-1982,03-05-2021,Other,hotel booking sites,1,7,Passives,Food quality,Restaurant,Good,3
1134,Guest 01134,Female,18-06-1966,04-04-2021,Business,Organization,5,3,Detractors,Variety of food,Restaurant,Poor,1
1135,Guest 01135,Male,09-06-1960,29-10-2020,Other,Word of mouth,5,9,Promoters,Broadband & TV,Facility,Good,3
1136,Guest 01136,Male,21-02-1988,30-04-2021,Other,hotel booking sites,4,8,Passives,Gym,Facility,Excellent,5
1137,Guest 01137,Male,08-06-1976,17-03-2022,Business,Organization,4,9,Promoters,Staff attitude,Staff,Excellent,5
1138,Guest 01138,Male,07-06-1987,11-11-2020,Business,Organization,3,6,Detractors,Check-in Process,Staff,Excellent,5
1139,Guest 01139,Female,29-07-1987,12-12-2020,Business,Organization,5,4,Detractors,Room service,Room,Excellent,5
1140,Guest 01140,Male,28-12-1958,27-01-2021,Vacation,Search engine,4,9,Promoters,Room cleanliness,Room,Very good,4
1141,Guest 01141,Male,28-07-1965,10-03-2021,Business,Organization,2,7,Passives,Food quality,Restaurant,Excellent,5
1142,Guest 01142,Female,03-11-1992,05-09-2021,Business,Organization,4,8,Passives,Variety of food,Restaurant,Average,2
1143,Guest 01143,Male,10-01-1955,21-02-2021,Business,Organization,4,8,Passives,Broadband & TV,Facility,Average,2
1144,Guest 01144,Female,17-10-1987,22-03-2022,Vacation,Internet advertisement,5,9,Promoters,Gym,Facility,Poor,1
1145,Guest 01145,Male,22-04-2004,07-02-2020,Business,Organization,3,9,Promoters,Staff attitude,Staff,Very good,4
1146,Guest 01146,Male,06-10-2004,21-07-2020,Other,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Excellent,5
1147,Guest 01147,Female,19-02-1966,02-05-2021,Business,Organization,2,7,Passives,Room service,Room,Excellent,5
1148,Guest 01148,Male,18-10-2002,28-03-2021,Vacation,hotel booking sites,5,9,Promoters,Room cleanliness,Room,Excellent,5
1149,Guest 01149,Female,18-03-1986,30-04-2021,Business,Organization,2,7,Passives,Food quality,Restaurant,Very good,4
1150,Guest 01150,Male,01-05-1969,16-01-2021,Vacation,Word of mouth,3,7,Passives,Variety of food,Restaurant,Poor,1
1151,Guest 01151,Female,21-04-1996,28-10-2020,Vacation,hotel booking sites,5,7,Passives,Broadband & TV,Facility,Excellent,5
1152,Guest 01152,Male,24-04-1969,22-03-2020,Business,Organization,4,8,Passives,Gym,Facility,Poor,1
1153,Guest 01153,Male,22-09-1966,23-06-2021,Vacation,Television advertisement,2,9,Promoters,Staff attitude,Staff,Very good,4
1154,Guest 01154,Female,11-08-2005,12-10-2022,Other,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Good,3
1155,Guest 01155,Male,29-01-1952,12-05-2022,Vacation,hotel booking sites,5,4,Detractors,Room service,Room,Very good,4
1156,Guest 01156,Male,03-10-1967,26-09-2022,Business,Search engine,4,7,Passives,Room cleanliness,Room,Good,3
1157,Guest 01157,Male,12-11-1978,06-03-2021,Business,Organization,2,8,Passives,Food quality,Restaurant,Very good,4
1158,Guest 01158,Female,28-04-1967,02-05-2021,Business,Organization,5,9,Promoters,Variety of food,Restaurant,Average,2
1159,Guest 01159,Male,23-01-1956,09-04-2021,Vacation,Word of mouth,3,9,Promoters,Broadband & TV,Facility,Average,2
1160,Guest 01160,Male,02-07-1965,07-02-2020,Business,Organization,5,3,Detractors,Gym,Facility,Average,2
1161,Guest 01161,Female,05-10-1966,18-04-2020,Vacation,hotel booking sites,3,7,Passives,Staff attitude,Staff,Very good,4
1162,Guest 01162,Male,13-03-1969,20-08-2021,Vacation,Word of mouth,5,9,Promoters,Check-in Process,Staff,Excellent,5
1163,Guest 01163,Female,06-04-1996,06-03-2020,Vacation,hotel booking sites,4,6,Detractors,Room service,Room,Excellent,5
1164,Guest 01164,Female,28-01-1999,17-01-2020,Business,Organization,4,5,Detractors,Room cleanliness,Room,Excellent,5
1165,Guest 01165,Male,14-11-1954,26-06-2022,Business,Organization,4,7,Passives,Food quality,Restaurant,Excellent,5
1166,Guest 01166,Male,10-12-2000,01-11-2020,Business,Organization,4,5,Detractors,Variety of food,Restaurant,Very good,4
1167,Guest 01167,Male,30-05-1997,02-06-2020,Function,Organization,3,9,Promoters,Broadband & TV,Facility,Excellent,5
1168,Guest 01168,Male,30-08-1984,20-12-2022,Vacation,Internet advertisement,2,6,Detractors,Gym,Facility,Excellent,5
1169,Guest 01169,Male,23-08-1974,09-01-2020,Vacation,Internet advertisement,5,9,Promoters,Staff attitude,Staff,Good,3
1170,Guest 01170,Female,27-12-1959,26-06-2020,Business,Organization,4,10,Promoters,Check-in Process,Staff,Excellent,5
1171,Guest 01171,Male,17-08-1987,09-11-2022,Business,Organization,3,10,Promoters,Room service,Room,Good,3
1172,Guest 01172,Male,23-01-1984,11-11-2022,Business,Organization,4,5,Detractors,Room cleanliness,Room,Excellent,5
1173,Guest 01173,Male,14-03-1967,04-07-2022,Business,Organization,3,6,Detractors,Food quality,Restaurant,Average,2
1174,Guest 01174,Female,19-07-1994,21-03-2020,Function,hotel booking sites,2,9,Promoters,Variety of food,Restaurant,Average,2
1175,Guest 01175,Male,13-10-1982,14-12-2022,Function,News paper,5,9,Promoters,Broadband & TV,Facility,Very good,4
1176,Guest 01176,Male,14-09-1966,08-10-2022,Function,Word of mouth,4,9,Promoters,Gym,Facility,Very good,4
1177,Guest 01177,Female,30-09-1967,16-10-2022,Business,Word of mouth,4,9,Promoters,Staff attitude,Staff,Good,3
1178,Guest 01178,Male,11-09-1973,03-05-2021,Function,News paper,4,7,Passives,Check-in Process,Staff,Good,3
1179,Guest 01179,Male,14-10-1951,10-07-2022,Business,Word of mouth,4,7,Passives,Room service,Room,Average,2
1180,Guest 01180,Male,24-06-1995,07-05-2020,Business,Organization,3,9,Promoters,Room cleanliness,Room,Good,3
1181,Guest 01181,Male,15-03-1972,04-02-2021,Vacation,Television advertisement,3,9,Promoters,Food quality,Restaurant,Very good,4
1182,Guest 01182,Female,27-11-1951,02-10-2022,Business,Organization,4,8,Passives,Variety of food,Restaurant,Excellent,5
1183,Guest 01183,Male,07-04-1978,08-07-2021,Vacation,Word of mouth,1,5,Detractors,Broadband & TV,Facility,Excellent,5
1184,Guest 01184,Male,02-07-1976,28-01-2020,Function,Word of mouth,5,3,Detractors,Gym,Facility,Very good,4
1185,Guest 01185,Male,28-04-1995,14-04-2022,Vacation,hotel booking sites,5,4,Detractors,Staff attitude,Staff,Very good,4
1186,Guest 01186,Female,24-05-1985,07-12-2021,Business,Organization,4,9,Promoters,Check-in Process,Staff,Average,2
1187,Guest 01187,Female,29-01-1968,21-06-2022,Vacation,Word of mouth,4,7,Passives,Room service,Room,Very good,4
1188,Guest 01188,Female,27-06-1953,22-08-2022,Vacation,hotel booking sites,5,5,Detractors,Room cleanliness,Room,Good,3
1189,Guest 01189,Male,18-01-1959,27-12-2021,Vacation,hotel booking sites,4,9,Promoters,Food quality,Restaurant,Good,3
1190,Guest 01190,Male,05-10-1965,27-03-2020,Business,Organization,5,8,Passives,Variety of food,Restaurant,Poor,1
1191,Guest 01191,Female,21-08-1959,16-08-2021,Vacation,News paper,5,7,Passives,Broadband & TV,Facility,Poor,1
1192,Guest 01192,Female,20-08-1964,12-05-2022,Vacation,Word of mouth,2,9,Promoters,Gym,Facility,Good,3
1193,Guest 01193,Female,23-05-2003,15-09-2020,Vacation,Television advertisement,5,9,Promoters,Staff attitude,Staff,Very good,4
1194,Guest 01194,Male,13-03-1981,03-09-2022,Business,Organization,4,9,Promoters,Check-in Process,Staff,Excellent,5
1195,Guest 01195,Male,06-04-1975,30-06-2022,Other,Word of mouth,1,8,Passives,Room service,Room,Very good,4
1196,Guest 01196,Female,05-01-1975,18-01-2021,Vacation,Search engine,1,3,Detractors,Room cleanliness,Room,Excellent,5
1197,Guest 01197,Female,22-06-1958,18-11-2020,Vacation,hotel booking sites,4,7,Passives,Food quality,Restaurant,Average,2
1198,Guest 01198,Male,02-03-1960,18-07-2022,Function,Word of mouth,5,6,Detractors,Variety of food,Restaurant,Poor,1
1199,Guest 01199,Female,16-06-1989,15-03-2021,Other,Search engine,4,8,Passives,Broadband & TV,Facility,Poor,1
1200,Guest 01200,Male,22-08-1978,20-06-2020,Vacation,Search engine,1,9,Promoters,Gym,Facility,Excellent,5
1201,Guest 01201,Female,26-10-1990,25-07-2020,Business,Organization,4,6,Detractors,Staff attitude,Staff,Average,2
1202,Guest 01202,Female,30-09-1999,01-02-2020,Business,Organization,3,9,Promoters,Check-in Process,Staff,Poor,1
1203,Guest 01203,Male,21-03-1961,16-04-2021,Function,Television advertisement,5,10,Promoters,Room service,Room,Very good,4
1204,Guest 01204,Female,25-04-1988,12-07-2022,Vacation,Internet advertisement,5,4,Detractors,Room cleanliness,Room,Poor,1
1205,Guest 01205,Male,06-01-2002,25-10-2021,Vacation,hotel booking sites,4,9,Promoters,Food quality,Restaurant,Very good,4
1206,Guest 01206,Male,29-09-1959,09-10-2022,Function,Search engine,3,7,Passives,Variety of food,Restaurant,Average,2
1207,Guest 01207,Female,22-12-1997,06-03-2020,Business,Organization,3,10,Promoters,Broadband & TV,Facility,Excellent,5
1208,Guest 01208,Male,30-04-1992,31-01-2021,Function,Organization,1,4,Detractors,Gym,Facility,Poor,1
1209,Guest 01209,Female,10-05-2004,05-11-2021,Vacation,Television advertisement,5,10,Promoters,Staff attitude,Staff,Very good,4
1210,Guest 01210,Male,21-08-1962,11-04-2021,Business,Organization,2,7,Passives,Check-in Process,Staff,Very good,4
1211,Guest 01211,Female,01-10-1979,05-01-2022,Business,hotel booking sites,5,4,Detractors,Room service,Room,Excellent,5
1212,Guest 01212,Male,09-02-1973,20-06-2020,Vacation,Internet advertisement,4,3,Detractors,Room cleanliness,Room,Average,2
1213,Guest 01213,Female,25-05-1961,29-01-2021,Vacation,hotel booking sites,5,9,Promoters,Food quality,Restaurant,Good,3
1214,Guest 01214,Male,31-01-2004,10-06-2020,Vacation,hotel booking sites,4,9,Promoters,Variety of food,Restaurant,Average,2
1215,Guest 01215,Male,24-04-1965,30-03-2021,Business,Organization,5,9,Promoters,Broadband & TV,Facility,Average,2
1216,Guest 01216,Male,08-05-1977,13-11-2020,Vacation,Organization,2,6,Detractors,Gym,Facility,Excellent,5
1217,Guest 01217,Male,04-01-1993,29-12-2021,Business,Organization,5,7,Passives,Staff attitude,Staff,Good,3
1218,Guest 01218,Female,25-11-2002,10-07-2021,Business,Organization,1,5,Detractors,Check-in Process,Staff,Excellent,5
1219,Guest 01219,Male,14-03-1999,09-05-2022,Function,Search engine,5,9,Promoters,Room service,Room,Good,3
1220,Guest 01220,Male,13-11-1955,27-01-2020,Vacation,Word of mouth,3,9,Promoters,Room cleanliness,Room,Poor,1
1221,Guest 01221,Male,07-08-1993,13-11-2020,Vacation,Search engine,5,7,Passives,Food quality,Restaurant,Good,3
1222,Guest 01222,Male,10-08-1991,28-07-2020,Business,Organization,5,8,Passives,Variety of food,Restaurant,Average,2
1223,Guest 01223,Female,14-11-2000,26-04-2021,Vacation,Organization,2,9,Promoters,Broadband & TV,Facility,Excellent,5
1224,Guest 01224,Female,09-02-1998,21-02-2020,Business,Internet advertisement,2,7,Passives,Gym,Facility,Average,2
1225,Guest 01225,Male,16-05-1962,07-11-2022,Business,Organization,5,9,Promoters,Staff attitude,Staff,Excellent,5
1226,Guest 01226,Male,05-02-1994,29-08-2021,Vacation,Search engine,4,6,Detractors,Check-in Process,Staff,Good,3
1227,Guest 01227,Female,03-03-1958,11-02-2021,Vacation,hotel booking sites,2,8,Passives,Room service,Room,Excellent,5
1228,Guest 01228,Male,19-12-1955,25-02-2022,Vacation,Search engine,4,9,Promoters,Room cleanliness,Room,Poor,1
1229,Guest 01229,Female,11-11-1976,14-02-2021,Vacation,Search engine,1,9,Promoters,Food quality,Restaurant,Good,3
1230,Guest 01230,Male,20-06-1964,29-08-2020,Vacation,hotel booking sites,5,7,Passives,Variety of food,Restaurant,Good,3
1231,Guest 01231,Female,08-02-1953,29-07-2021,Other,Organization,4,9,Promoters,Broadband & TV,Facility,Very good,4
1232,Guest 01232,Male,25-08-1962,29-10-2020,Vacation,Internet advertisement,4,8,Passives,Gym,Facility,Average,2
1233,Guest 01233,Female,12-12-1955,25-08-2022,Vacation,hotel booking sites,4,9,Promoters,Staff attitude,Staff,Excellent,5
1234,Guest 01234,Male,01-09-1968,23-11-2021,Function,Search engine,4,9,Promoters,Check-in Process,Staff,Very good,4
1235,Guest 01235,Female,02-01-1996,08-09-2020,Business,Organization,5,7,Passives,Room service,Room,Good,3
1236,Guest 01236,Male,13-06-1984,27-10-2022,Other,Television advertisement,3,4,Detractors,Room cleanliness,Room,Good,3
1237,Guest 01237,Female,26-07-1983,06-03-2021,Vacation,Internet advertisement,1,10,Promoters,Food quality,Restaurant,Very good,4
1238,Guest 01238,Female,18-08-2002,23-01-2022,Function,Organization,2,9,Promoters,Variety of food,Restaurant,Average,2
1239,Guest 01239,Female,12-12-1980,10-11-2021,Business,Organization,4,10,Promoters,Broadband & TV,Facility,Average,2
1240,Guest 01240,Female,18-12-1979,29-03-2020,Other,hotel booking sites,2,9,Promoters,Gym,Facility,Average,2
1241,Guest 01241,Male,15-07-1988,03-09-2020,Vacation,Internet advertisement,4,9,Promoters,Staff attitude,Staff,Very good,4
1242,Guest 01242,Female,28-05-1952,23-01-2021,Business,Organization,5,5,Detractors,Check-in Process,Staff,Very good,4
1243,Guest 01243,Male,13-09-1952,30-12-2021,Business,Organization,5,3,Detractors,Room service,Room,Very good,4
1244,Guest 01244,Female,26-11-1988,23-03-2022,Vacation,hotel booking sites,2,9,Promoters,Room cleanliness,Room,Very good,4
1245,Guest 01245,Female,02-04-1964,08-04-2022,Business,Organization,5,9,Promoters,Food quality,Restaurant,Average,2
1246,Guest 01246,Male,19-06-1971,07-12-2020,Business,Search engine,5,10,Promoters,Variety of food,Restaurant,Average,2
1247,Guest 01247,Male,02-07-1959,28-06-2021,Business,Organization,5,4,Detractors,Broadband & TV,Facility,Excellent,5
1248,Guest 01248,Male,19-10-1986,20-02-2021,Vacation,Word of mouth,1,9,Promoters,Gym,Facility,Average,2
1249,Guest 01249,Male,18-09-1951,17-02-2020,Business,Organization,4,6,Detractors,Staff attitude,Staff,Very good,4
1250,Guest 01250,Male,10-11-1988,16-05-2020,Business,Organization,1,4,Detractors,Check-in Process,Staff,Very good,4
1251,Guest 01251,Female,10-10-1968,27-10-2022,Function,Word of mouth,4,9,Promoters,Room service,Room,Good,3
1252,Guest 01252,Female,07-12-1983,05-12-2021,Vacation,hotel booking sites,5,8,Passives,Room cleanliness,Room,Poor,1
1253,Guest 01253,Male,05-09-1965,05-03-2022,Business,Organization,1,5,Detractors,Food quality,Restaurant,Very good,4
1254,Guest 01254,Female,20-07-2002,14-04-2020,Vacation,Television advertisement,1,9,Promoters,Variety of food,Restaurant,Poor,1
1255,Guest 01255,Male,28-06-1963,11-07-2020,Vacation,hotel booking sites,5,9,Promoters,Broadband & TV,Facility,Very good,4
